CustomerID	FirstName	LastName	Email	Gender	Country	SignupDate	Age	AnnualIncome	IsActive
1	Diana	Smith	user1@example.com	F	USA	2023-01-01	23	40106	True
2	Eve	Miller	user2@example.com	M	India	2023-01-02	26	98008	True
3	Charlie	Miller	user3@example.com	F	Australia	2023-01-03	23	102240	False
4	Eve	Jones	user4@example.com	F	Canada	2023-01-04	26	94315	True
5	Eve	Johnson	user5@example.com	M	UK	2023-01-05	56	99249	False
6	Bob	Johnson	user6@example.com	F	Canada	2023-01-06	48	100587	False
7	Charlie	Miller	user7@example.com	F	India	2023-01-07	49	40756	True
8	Charlie	Jones	user8@example.com	F	Canada	2023-01-08	58	98011	True
9	Charlie	Brown	user9@example.com	M	USA	2023-01-09	67	66378	True
10	Eve	Johnson	user10@example.com	F	India	2023-01-10	29	34255	False
11	Diana	Brown	user11@example.com	F	UK	2023-01-11	25	44484	True
12	Charlie	Johnson	user12@example.com	F	USA	2023-01-12	25	86549	False
13	Frank	Johnson	user13@example.com	M	India	2023-01-13	67	64503	True
14	Eve	Williams	user14@example.com	F	UK	2023-01-14	45	103794	True
15	Bob	Johnson	user15@example.com	M	USA	2023-01-15	37	75113	False
16	Diana	Smith	user16@example.com	M	USA	2023-01-16	64	104069	False
17	Frank	Jones	user17@example.com	M	India	2023-01-17	24	35249	True
18	Frank	Jones	user18@example.com	M	Australia	2023-01-18	28	49201	False
19	Bob	Brown	user19@example.com	M	USA	2023-01-19	37	88576	False
20	Diana	Johnson	user20@example.com	M	USA	2023-01-20	33	39686	False
21	Eve	Smith	user21@example.com	F	UK	2023-01-21	21	83363	False
22	Alice	Brown	user22@example.com	M	Canada	2023-01-22	23	30661	False
23	Diana	Williams	user23@example.com	F	India	2023-01-23	39	74843	True
24	Bob	Brown	user24@example.com	F	India	2023-01-24	43	90963	True
25	Frank	Brown	user25@example.com	M	Australia	2023-01-25	20	72828	False
26	Eve	Johnson	user26@example.com	F	Australia	2023-01-26	58	78604	True
27	Diana	Williams	user27@example.com	F	India	2023-01-27	59	40526	True
28	Alice	Brown	user28@example.com	F	Australia	2023-01-28	31	98910	False
29	Alice	Smith	user29@example.com	F	UK	2023-01-29	28	55592	True
30	Charlie	Smith	user30@example.com	M	India	2023-01-30	35	58982	False
31	Charlie	Jones	user31@example.com	F	Australia	2023-01-31	29	30207	False
32	Bob	Williams	user32@example.com	M	India	2023-02-01	40	118733	True
33	Diana	Williams	user33@example.com	F	Canada	2023-02-02	29	98619	False
34	Diana	Jones	user34@example.com	F	USA	2023-02-03	30	59328	False
35	Frank	Brown	user35@example.com	M	India	2023-02-04	42	76479	False
36	Frank	Williams	user36@example.com	F	USA	2023-02-05	62	50103	False
37	Frank	Smith	user37@example.com	F	Australia	2023-02-06	68	69891	False
38	Charlie	Smith	user38@example.com	F	USA	2023-02-07	36	40754	True
39	Diana	Johnson	user39@example.com	M	India	2023-02-08	63	111437	True
40	Diana	Williams	user40@example.com	F	Canada	2023-02-09	53	102982	False
41	Alice	Brown	user41@example.com	M	Australia	2023-02-10	62	85922	False
42	Charlie	Jones	user42@example.com	F	India	2023-02-11	25	78231	True
43	Eve	Jones	user43@example.com	M	Australia	2023-02-12	46	59301	False
44	Charlie	Brown	user44@example.com	M	UK	2023-02-13	49	92711	True
45	Eve	Miller	user45@example.com	F	USA	2023-02-14	68	71323	False
46	Alice	Johnson	user46@example.com	F	UK	2023-02-15	61	48752	False
47	Bob	Jones	user47@example.com	M	India	2023-02-16	35	112205	False
48	Diana	Williams	user48@example.com	M	Canada	2023-02-17	23	43395	False
49	Alice	Johnson	user49@example.com	F	Australia	2023-02-18	35	115957	False
50	Diana	Williams	user50@example.com	M	USA	2023-02-19	36	86273	False
51	Frank	Smith	user51@example.com	F	Australia	2023-02-20	39	34895	False
52	Bob	Johnson	user52@example.com	F	India	2023-02-21	54	106559	True
53	Bob	Jones	user53@example.com	F	Australia	2023-02-22	49	40699	True
54	Alice	Johnson	user54@example.com	F	USA	2023-02-23	58	95061	True
55	Bob	Johnson	user55@example.com	M	India	2023-02-24	20	39715	False
56	Eve	Johnson	user56@example.com	F	Australia	2023-02-25	45	49169	False
57	Bob	Miller	user57@example.com	M	Canada	2023-02-26	27	46163	False
58	Diana	Johnson	user58@example.com	F	India	2023-02-27	68	35782	False
59	Diana	Williams	user59@example.com	M	India	2023-02-28	52	118177	False
60	Diana	Smith	user60@example.com	F	Canada	2023-03-01	46	114328	False
61	Diana	Brown	user61@example.com	M	UK	2023-03-02	32	65585	False
62	Eve	Johnson	user62@example.com	M	USA	2023-03-03	50	60682	True
63	Charlie	Jones	user63@example.com	F	UK	2023-03-04	24	77864	False
64	Frank	Johnson	user64@example.com	F	Australia	2023-03-05	29	114416	True
65	Alice	Jones	user65@example.com	F	Canada	2023-03-06	66	85114	True
66	Diana	Williams	user66@example.com	F	UK	2023-03-07	47	68067	False
67	Bob	Jones	user67@example.com	M	India	2023-03-08	38	72685	False
68	Diana	Brown	user68@example.com	F	Australia	2023-03-09	48	48073	True
69	Bob	Smith	user69@example.com	M	Australia	2023-03-10	41	66035	True
70	Frank	Jones	user70@example.com	M	UK	2023-03-11	37	94977	False
71	Frank	Jones	user71@example.com	F	UK	2023-03-12	54	113362	False
72	Frank	Smith	user72@example.com	M	Canada	2023-03-13	21	95450	True
73	Bob	Brown	user73@example.com	M	USA	2023-03-14	45	40382	False
74	Diana	Johnson	user74@example.com	M	UK	2023-03-15	61	34437	False
75	Frank	Jones	user75@example.com	M	UK	2023-03-16	37	100971	False
76	Eve	Smith	user76@example.com	F	India	2023-03-17	41	94612	True
77	Bob	Williams	user77@example.com	F	Australia	2023-03-18	67	91929	True
78	Bob	Smith	user78@example.com	F	USA	2023-03-19	66	42329	True
79	Diana	Williams	user79@example.com	F	India	2023-03-20	68	55169	False
80	Bob	Brown	user80@example.com	M	Canada	2023-03-21	49	117468	False
81	Bob	Johnson	user81@example.com	M	Canada	2023-03-22	58	64594	True
82	Frank	Smith	user82@example.com	F	UK	2023-03-23	53	106957	True
83	Diana	Miller	user83@example.com	F	UK	2023-03-24	51	90631	True
84	Frank	Jones	user84@example.com	F	Canada	2023-03-25	53	75033	False
85	Frank	Brown	user85@example.com	M	UK	2023-03-26	19	93133	True
86	Diana	Smith	user86@example.com	F	USA	2023-03-27	32	103165	True
87	Alice	Jones	user87@example.com	F	UK	2023-03-28	51	103861	False
88	Frank	Smith	user88@example.com	F	Australia	2023-03-29	53	82290	False
89	Eve	Williams	user89@example.com	M	UK	2023-03-30	23	61750	False
90	Eve	Smith	user90@example.com	M	India	2023-03-31	56	70461	True
91	Bob	Miller	user91@example.com	M	USA	2023-04-01	59	103800	False
92	Eve	Smith	user92@example.com	M	India	2023-04-02	68	108222	False
93	Bob	Smith	user93@example.com	M	India	2023-04-03	68	54226	True
94	Alice	Miller	user94@example.com	M	Australia	2023-04-04	29	36721	False
95	Diana	Brown	user95@example.com	M	USA	2023-04-05	20	86154	True
96	Diana	Smith	user96@example.com	M	USA	2023-04-06	62	50609	True
97	Diana	Miller	user97@example.com	F	USA	2023-04-07	35	82130	False
98	Eve	Jones	user98@example.com	F	USA	2023-04-08	57	102909	False
99	Alice	Williams	user99@example.com	M	USA	2023-04-09	38	85249	False
100	Eve	Williams	user100@example.com	M	Australia	2023-04-10	32	78895	False
101	Eve	Smith	user101@example.com	F	UK	2023-04-11	50	35656	False
102	Alice	Brown	user102@example.com	M	India	2023-04-12	52	104520	False
103	Alice	Brown	user103@example.com	M	USA	2023-04-13	43	93740	True
104	Alice	Jones	user104@example.com	M	UK	2023-04-14	25	94309	True
105	Alice	Smith	user105@example.com	F	UK	2023-04-15	53	59984	False
106	Diana	Williams	user106@example.com	F	India	2023-04-16	65	103822	True
107	Charlie	Brown	user107@example.com	F	Australia	2023-04-17	47	35901	False
108	Charlie	Smith	user108@example.com	F	Canada	2023-04-18	40	61552	True
109	Alice	Brown	user109@example.com	F	Canada	2023-04-19	59	61055	True
110	Charlie	Miller	user110@example.com	M	UK	2023-04-20	61	67685	True
111	Charlie	Brown	user111@example.com	F	India	2023-04-21	31	103965	False
112	Alice	Williams	user112@example.com	M	Canada	2023-04-22	31	44716	True
113	Charlie	Johnson	user113@example.com	M	UK	2023-04-23	19	41138	False
114	Eve	Jones	user114@example.com	F	Australia	2023-04-24	54	65298	True
115	Bob	Jones	user115@example.com	F	Canada	2023-04-25	22	81112	True
116	Bob	Williams	user116@example.com	M	UK	2023-04-26	55	53429	True
117	Alice	Brown	user117@example.com	M	UK	2023-04-27	62	80200	True
118	Diana	Smith	user118@example.com	M	USA	2023-04-28	58	101308	True
119	Alice	Brown	user119@example.com	F	Australia	2023-04-29	64	78244	False
120	Diana	Williams	user120@example.com	F	USA	2023-04-30	31	47347	False
121	Bob	Jones	user121@example.com	F	India	2023-05-01	56	46920	True
122	Alice	Brown	user122@example.com	F	USA	2023-05-02	42	61822	True
123	Frank	Jones	user123@example.com	F	USA	2023-05-03	37	76659	True
124	Eve	Smith	user124@example.com	M	Canada	2023-05-04	19	70108	True
125	Charlie	Jones	user125@example.com	F	UK	2023-05-05	56	119099	False
126	Diana	Jones	user126@example.com	M	Australia	2023-05-06	23	37967	True
127	Frank	Johnson	user127@example.com	M	USA	2023-05-07	34	41871	False
128	Charlie	Johnson	user128@example.com	M	Australia	2023-05-08	42	107452	True
129	Charlie	Miller	user129@example.com	F	USA	2023-05-09	45	104270	False
130	Alice	Johnson	user130@example.com	F	India	2023-05-10	19	63613	True
131	Charlie	Jones	user131@example.com	F	USA	2023-05-11	52	58179	True
132	Eve	Williams	user132@example.com	M	Canada	2023-05-12	54	82188	False
133	Frank	Jones	user133@example.com	M	UK	2023-05-13	22	85099	True
134	Charlie	Williams	user134@example.com	M	India	2023-05-14	18	65262	True
135	Alice	Williams	user135@example.com	M	USA	2023-05-15	57	108213	True
136	Eve	Johnson	user136@example.com	M	Australia	2023-05-16	29	48268	False
137	Bob	Brown	user137@example.com	M	India	2023-05-17	53	107866	True
138	Frank	Smith	user138@example.com	F	India	2023-05-18	62	116269	True
139	Charlie	Johnson	user139@example.com	F	USA	2023-05-19	40	90545	False
140	Alice	Johnson	user140@example.com	F	India	2023-05-20	64	102146	False
141	Bob	Brown	user141@example.com	F	Australia	2023-05-21	48	101966	False
142	Bob	Smith	user142@example.com	M	India	2023-05-22	28	69922	True
143	Diana	Jones	user143@example.com	M	Australia	2023-05-23	27	109364	True
144	Eve	Miller	user144@example.com	F	USA	2023-05-24	20	72913	True
145	Charlie	Miller	user145@example.com	M	UK	2023-05-25	31	85677	False
146	Alice	Jones	user146@example.com	F	India	2023-05-26	33	79841	True
147	Diana	Johnson	user147@example.com	F	UK	2023-05-27	27	76332	True
148	Eve	Smith	user148@example.com	F	Australia	2023-05-28	46	55032	False
149	Diana	Johnson	user149@example.com	M	India	2023-05-29	27	67846	False
150	Frank	Williams	user150@example.com	F	Canada	2023-05-30	29	89474	False
151	Eve	Johnson	user151@example.com	F	UK	2023-05-31	47	74936	False
152	Eve	Johnson	user152@example.com	F	India	2023-06-01	58	59794	False
153	Charlie	Jones	user153@example.com	M	UK	2023-06-02	18	91588	True
154	Eve	Jones	user154@example.com	M	India	2023-06-03	22	100984	False
155	Diana	Jones	user155@example.com	F	USA	2023-06-04	37	80331	True
156	Eve	Miller	user156@example.com	M	UK	2023-06-05	25	58141	True
157	Charlie	Williams	user157@example.com	M	Canada	2023-06-06	60	39074	False
158	Charlie	Jones	user158@example.com	M	Canada	2023-06-07	29	36406	False
159	Frank	Smith	user159@example.com	M	Australia	2023-06-08	18	53291	False
160	Diana	Miller	user160@example.com	M	India	2023-06-09	37	71568	True
161	Bob	Brown	user161@example.com	M	UK	2023-06-10	45	76851	False
162	Bob	Smith	user162@example.com	M	Australia	2023-06-11	60	84823	False
163	Eve	Smith	user163@example.com	M	UK	2023-06-12	54	53312	False
164	Frank	Jones	user164@example.com	M	India	2023-06-13	64	73108	False
165	Alice	Brown	user165@example.com	M	Canada	2023-06-14	54	96918	False
166	Eve	Brown	user166@example.com	F	USA	2023-06-15	29	64171	True
167	Frank	Miller	user167@example.com	F	Canada	2023-06-16	54	71779	True
168	Diana	Brown	user168@example.com	M	Australia	2023-06-17	66	98828	True
169	Diana	Williams	user169@example.com	F	USA	2023-06-18	66	42411	False
170	Diana	Jones	user170@example.com	F	Australia	2023-06-19	61	87009	False
171	Diana	Brown	user171@example.com	M	India	2023-06-20	45	45422	False
172	Diana	Miller	user172@example.com	M	USA	2023-06-21	64	72468	True
173	Frank	Williams	user173@example.com	M	Australia	2023-06-22	32	62371	False
174	Frank	Johnson	user174@example.com	F	India	2023-06-23	23	87022	False
175	Charlie	Johnson	user175@example.com	F	Canada	2023-06-24	61	101229	False
176	Bob	Williams	user176@example.com	M	India	2023-06-25	37	81196	True
177	Diana	Miller	user177@example.com	M	UK	2023-06-26	67	110354	False
178	Alice	Williams	user178@example.com	M	India	2023-06-27	31	56715	True
179	Frank	Jones	user179@example.com	F	India	2023-06-28	19	57605	False
180	Alice	Jones	user180@example.com	F	UK	2023-06-29	26	61174	True
181	Alice	Johnson	user181@example.com	F	Australia	2023-06-30	54	39956	True
182	Alice	Brown	user182@example.com	F	Australia	2023-07-01	37	106373	True
183	Charlie	Miller	user183@example.com	M	India	2023-07-02	43	99252	False
184	Frank	Johnson	user184@example.com	M	UK	2023-07-03	46	91949	False
185	Alice	Brown	user185@example.com	M	UK	2023-07-04	18	92646	True
186	Diana	Brown	user186@example.com	M	Canada	2023-07-05	52	100017	True
187	Eve	Jones	user187@example.com	F	Australia	2023-07-06	23	93037	False
188	Alice	Smith	user188@example.com	F	USA	2023-07-07	54	119818	False
189	Charlie	Smith	user189@example.com	M	Australia	2023-07-08	22	36548	True
190	Frank	Williams	user190@example.com	M	Australia	2023-07-09	50	103294	False
191	Charlie	Jones	user191@example.com	F	Canada	2023-07-10	66	53177	False
192	Alice	Brown	user192@example.com	M	USA	2023-07-11	68	54022	False
193	Frank	Miller	user193@example.com	F	Canada	2023-07-12	31	35542	False
194	Eve	Smith	user194@example.com	M	USA	2023-07-13	29	90428	True
195	Alice	Brown	user195@example.com	M	India	2023-07-14	59	52740	False
